site,scale,mean_aPIE,mean_gPIE,mean_betaPIE,mean_biomass,mean_env
1,400,3.314881031,4.647077257,0.198455505,7139.077159,-2.650496906
1,900,3.291858887,5.086782103,0.243923613,15671.13264,-2.797309747
1,1600,3.191707613,5.084153212,0.267697786,27156.37557,-2.896387237
1,2500,3.121821229,4.995233307,0.275330152,41672.01137,-2.992687541
1,3600,3.103216811,4.910534147,0.277399264,58659.75329,-3.018568754
1,4900,3.103216811,4.738850643,0.276317176,79842.44198,-3.001456215
1,6400,3.121821229,4.597788335,0.278597131,106680.3491,-2.942604071
1,8100,3.191707613,4.676800495,0.29173716,137479.1513,-2.8146854
1,10000,3.291858887,4.86439357,0.312866145,174123.696,-2.685991948
1,12100,3.31541579,5.093582134,0.345619912,215957.0841,-2.512974663
1,14400,3.343324037,5.399075007,0.380759846,266164.1466,-2.356074791
2,400,2.731158272,3.320166184,0.102982712,6352.039944,-2.710327224
2,900,2.697619912,3.367943675,0.124793168,14021.9136,-2.763180685
2,1600,2.711155682,3.37516015,0.133699968,24657.3325,-2.845448385
2,2500,2.717156785,3.36394423,0.137614323,38152.70977,-2.963855423
2,3600,2.736345265,3.362409655,0.135295305,54854.86652,-3.019161017
2,4900,2.737335969,3.292270625,0.13232488,74663.56832,-3.032343184
2,6400,2.721020321,3.190474407,0.123880061,97670.937,-2.987325533
2,8100,2.718784263,3.125928308,0.115781473,124827.7458,-2.864705466
2,10000,2.706486705,3.065083683,0.107801754,155799.04,-2.770921312
2,12100,2.742942991,3.052615885,0.099344221,192149.2083,-2.676123096
2,14400,2.766402121,3.019185634,0.083725727,238745.6644,-2.579650749
4,400,3.490338579,5.250147665,0.291719629,7469.124351,-0.477431147
4,900,3.471238044,6.088952585,0.371363353,16424.80727,-0.612673039
4,1600,3.439529315,6.582375946,0.406348875,28502.8851,-0.683018119
4,2500,3.440679168,7.045857841,0.438992761,43252.70211,-0.696190369
4,3600,3.441287918,7.458003006,0.478064019,61488.13776,-0.679370076
4,4900,3.441287918,7.68559021,0.514979719,83692.18751,-0.663766236
4,6400,3.440679168,7.906766207,0.550628476,110726.9174,-0.661222515
4,8100,3.439529315,8.306039961,0.584387254,144295.8558,-0.64243395
4,10000,3.471238044,9.181993119,0.62167903,182497.8585,-0.579083697
4,12100,3.490338579,9.858699629,0.645904023,225941.0116,-0.434812127
4,14400,3.503419179,9.937567283,0.647457061,273952.9248,-0.302121054
5,400,3.479530718,5.194453571,0.27854231,8523.597028,-0.025566404
5,900,3.506446989,5.870082189,0.358319914,19224.21636,-0.088356229
5,1600,3.517615639,6.377249836,0.413423854,34369.21146,-0.113517433
5,2500,3.556333548,6.826915126,0.449836038,53621.44276,-0.120084218
5,3600,3.592060255,7.249723365,0.483645904,77993.89987,-0.135081296
5,4900,3.592060255,7.674243934,0.518423061,106158.3637,-0.144469232
5,6400,3.556333548,7.924586831,0.54311705,137270.8935,-0.142296448
5,8100,3.517615639,8.092169614,0.560115151,173994.133,-0.145457148
5,10000,3.506446989,8.373025097,0.578303025,213602.404,-0.130748475
5,12100,3.479530718,8.833257201,0.605307204,257838.8101,-0.058589182
5,14400,3.502672665,9.466587993,0.629996291,303896.4439,0.016218396
